company_name,industry,size,website,key_person,position,recent_news,pain_points
"СберМаркет","e-grocery / доставка продуктов","3000+ сотрудников","sbermarket.ru","Роман Куликов","Директор по операциям","Запустили доставку за 15 минут в 5 городах, расширяют сеть дарксторов","Высокий процент отмен заказов (12%), проблемы с прогнозированием спроса на скоропортящиеся товары"
"Skillbox","edtech / онлайн-образование","2000+ сотрудников","skillbox.ru","Мария Демьянова","VP of Marketing","Купили школу дизайна, интегрируют 40 новых курсов в платформу","Низкая доходимость студентов до конца курса (23%), высокий CAC в контексте"
"ДоДо Пицца","foodtech / общепит","800 сотрудников, 1000+ точек","dodopizza.ru","Максим Соловьёв","Директор по развитию в России","Открыли 100-ю точку в Казахстане, тестируют роботизированную кухню","Зависимость от агрегаторов доставки, нехватка персонала на кухнях в регионах"
"Банк Точка","финтех / банкинг для бизнеса","1500+ сотрудников","tochka.com","Андрей Фёдоров","Руководитель продуктового направления","Запустили встроенный бухгалтерский сервис для ИП, растут на 30% год к году","Сложность онбординга клиентов из традиционных банков, высокий churn в первые 3 месяца"
"Boxberry","логистика / доставка","2500+ сотрудников","boxberry.ru","Елена Тимофеева","Коммерческий директор","Открыли 1000-й пункт выдачи, внедряют постаматы в жилых домах","Жалобы на сроки доставки в регионы, конкуренция с CDEK и Ozon по цене"
"Самолёт","девелопмент / строительство","5000+ сотрудников","samolet.ru","Дмитрий Волков","Директор по цифровизации","Внедрили BIM-модели на всех объектах, строят район на 50 000 жителей в Подмосковье","Задержки сдачи объектов из-за проблем с поставщиками, низкая конверсия из просмотра в покупку (3%)"
"IVI","видеостриминг","700+ сотрудников","ivi.ru","Алексей Рогов","Директор по продукту","Сняли 8 оригинальных сериалов за 2025, инвестируют в рекомендательную систему","Рост оттока подписчиков в Q4 (8.5%), высокая стоимость производства контента"
"ЮMoney","финтех / платежи","1000+ сотрудников","yoomoney.ru","Ольга Синицына","Директор по работе с партнёрами","Запустили оплату по QR в общественном транспорте 4 городов","Конкуренция с СБП, падение маржинальности на P2P-переводах"
"HeadHunter","HR-tech / рекрутинг","1200+ сотрудников","hh.ru","Сергей Павлов","VP of Product","Внедрили AI-скоринг резюме, тестируют видеоинтервью с анализом речи","Работодатели жалуются на мусорные отклики, конверсия из отклика в собеседование — 4%"
"СберЗдоровье","healthtech / телемедицина","600+ сотрудников","sberhealth.ru","Наталья Крылова","Операционный директор","Подключили 200 новых клиник к платформе, запустили онлайн-запись к врачам","Низкое повторное использование сервиса (17% retention), врачи недовольны комиссией платформы"
"Lamoda","e-commerce / fashion","3000+ сотрудников","lamoda.ru","Игорь Краснов","Директор по логистике","Открыли фулфилмент-центр в Новосибирске, тестируют примерочные на дому","Высокий процент возвратов (35%), проблемы с размерными сетками поставщиков"
"2ГИС","geoinformatics / картографические сервисы","1500+ сотрудников","2gis.ru","Павел Жданов","Коммерческий директор","Добавили навигацию внутри ТЦ, запустили рекламный кабинет для малого бизнеса","Конкуренция с Яндекс.Картами за рекламодателей, монетизация бесплатных пользователей"
"Учи.ру","edtech / школьное образование","500+ сотрудников","uchi.ru","Анна Белова","Директор по маркетингу","Заключили контракты с 30 регионами на использование платформы в школах","Родители не понимают ценность подписки, конверсия из бесплатного в платный — 6%"
"Ostrovok.ru","travel-tech / бронирование отелей","400+ сотрудников","ostrovok.ru","Кирилл Новиков","CTO","Запустили API для турагентств, подключили 200 000 отелей в СНГ","Зависимость от Booking.com как источника контента, низкая маржа на внутренних направлениях"
"Делимобиль","mobility / каршеринг","800+ сотрудников","delimobil.ru","Виктория Самсонова","Директор по клиентскому опыту","Вышли в Екатеринбург и Ростов, обновили 40% автопарка","Повреждения машин пользователями, сложность страхового урегулирования, жалобы на чистоту салонов"
"Авито","classifieds / маркетплейс","4000+ сотрудников","avito.ru","Тимур Галимов","Руководитель направления Авито Услуги","Запустили безопасную сделку для услуг, растут на 45% в категории б/у авто","Мошенничество на площадке, сложность модерации 5 млн объявлений в день"
"МойСклад","SaaS / складской учёт","300+ сотрудников","moysklad.ru","Аркадий Бессонов","CEO","Интегрировались с 15 маркетплейсами, запустили CRM-модуль","Клиенты хотят полноценную CRM, а не модуль; конкуренция с 1С за средний бизнес"
"Skyeng","edtech / изучение языков","2000+ сотрудников","skyeng.ru","Марина Константинова","VP of Growth","Запустили AI-тьютора для домашних заданий, тестируют групповые занятия","Отток преподавателей к конкурентам, средняя продолжительность обучения — 4 месяца вместо целевых 12"
"Самокат","e-grocery / экспресс-доставка","15000+ сотрудников","samokat.ru","Вадим Полянский","Директор по маркетингу","Вышли за пределы продуктов: доставляют электронику, одежду, товары для дома","Высокие затраты на последнюю милю, текучка курьеров 200% в год"
"ПИК-Комфорт","proptech / управление недвижимостью","2000+ сотрудников","pik-comfort.ru","Юлия Волкова","Директор по цифровым продуктам","Запустили приложение для жителей с оплатой ЖКУ и заявками на ремонт","Низкая оценка приложения в сторах (3.2), жители жалуются на скорость обработки заявок"
